keyboard_name,keyboard_size,keyboard_type,user,audio_file,key_pressed,keyboard_material,switch_type,PCA_Feature_A,PCA_Feature_B,cluster
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_fwdsl_1720384092_Basem.wav,fwdsl,aluminum,Tactile,-2.8607342,2.566108,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_4_1720380814_Basem.wav,4,aluminum,Tactile,-2.8460906,2.182026,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_q_1720381213_Basem.wav,q,aluminum,Tactile,-3.2382307,1.968568,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_f_1720383164_Basem.wav,f,aluminum,Tactile,-3.7736237,2.2146096,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_d_1720383137_Basem.wav,d,aluminum,Tactile,-3.033945,2.3683434,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_fwdsl_1720384089_Basem.wav,fwdsl,aluminum,Tactile,-3.9343612,2.01506,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_a_1720383072_Basem.wav,a,aluminum,Tactile,-4.09519,1.9756726,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_4_1720380831_Basem.wav,4,aluminum,Tactile,-3.061164,2.1473572,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_t_1720382607_Basem.wav,t,aluminum,Tactile,-1.8500185,1.8451848,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_[_1720382868_Basem.wav,[,aluminum,Tactile,-2.2954323,1.5516378,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_q_1720381227_Basem.wav,q,aluminum,Tactile,-3.3831782,2.1724803,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_m_1720383958_Basem.wav,m,aluminum,Tactile,-1.9884361,2.2293098,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_t_1720382603_Basem.wav,t,aluminum,Tactile,-1.6087587,1.9320894,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_fwdsl_1720384082_Basem.wav,fwdsl,aluminum,Tactile,-3.0981567,2.3890016,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_q_1720381224_Basem.wav,q,aluminum,Tactile,-3.602384,2.359172,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_[_1720382875_Basem.wav,[,aluminum,Tactile,-2.5805097,1.5424589,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_space_1720384148_Basem.wav,space,aluminum,Tactile,-1.968154,1.4279293,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_z_1720383566_Basem.wav,z,aluminum,Tactile,-1.9009104,1.5750037,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,"key_press_,_1720384007_Basem.wav",",",aluminum,Tactile,-3.0155172,2.433151,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_-_1720381141_Basem.wav,-,aluminum,Tactile,-3.622987,1.5164213,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_fwdsl_1720384106_Basem.wav,fwdsl,aluminum,Tactile,-3.1432974,2.4024727,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_j_1720383319_Basem.wav,j,aluminum,Tactile,-1.4532251,1.5740726,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_8_1720380984_Basem.wav,8,aluminum,Tactile,-3.5219064,2.0153184,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_t_1720382579_Basem.wav,t,aluminum,Tactile,-0.9461973,1.9004459,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_z_1720383587_Basem.wav,z,aluminum,Tactile,-1.3704402,2.179222,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_o_1720382779_Basem.wav,o,aluminum,Tactile,-2.2625437,1.7644413,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_4_1720380817_Basem.wav,4,aluminum,Tactile,-2.526766,2.1227176,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_e_1720381301_Basem.wav,e,aluminum,Tactile,-2.8651898,2.3191338,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_y_1720382641_Basem.wav,y,aluminum,Tactile,-0.48536783,2.054802,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_x_1720383676_Basem.wav,x,aluminum,Tactile,-0.52975106,2.691564,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_]_1720382933_Basem.wav,],aluminum,Tactile,-3.828109,1.6168467,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_8_1720380991_Basem.wav,8,aluminum,Tactile,-2.9189298,2.1164966,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_b_1720383892_Basem.wav,b,aluminum,Tactile,-0.46119776,2.117694,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_n_1720383912_Basem.wav,n,aluminum,Tactile,-0.8886069,2.3421478,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_9_1720381044_Basem.wav,9,aluminum,Tactile,-2.8571713,2.4974067,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_[_1720382892_Basem.wav,[,aluminum,Tactile,-3.4843872,1.4961644,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_z_1720383577_Basem.wav,z,aluminum,Tactile,-0.35449716,2.1731708,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_`_1720380609_Basem.wav,`,aluminum,Tactile,-1.675111,2.324125,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_-_1720381113_Basem.wav,-,aluminum,Tactile,-3.1869168,2.14068,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_d_1720383123_Basem.wav,d,aluminum,Tactile,-3.344887,2.45149,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_4_1720380824_Basem.wav,4,aluminum,Tactile,-2.093774,2.3730984,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_;_1720383497_Basem.wav,;,aluminum,Tactile,-1.6835927,1.6858183,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_x_1720383687_Basem.wav,x,aluminum,Tactile,-1.2922007,2.5487828,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_n_1720383923_Basem.wav,n,aluminum,Tactile,-1.6716851,2.0639436,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_]_1720382929_Basem.wav,],aluminum,Tactile,-3.2729642,1.6795722,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_w_1720381259_Basem.wav,w,aluminum,Tactile,-2.875084,2.2761695,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_2_1720380689_Basem.wav,2,aluminum,Tactile,-2.2445276,1.8375165,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_1_1720380641_Basem.wav,1,aluminum,Tactile,-1.8386562,1.7578802,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,"key_press_,_1720383996_Basem.wav",",",aluminum,Tactile,-2.2467244,2.4138596,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_-_1720381138_Basem.wav,-,aluminum,Tactile,-3.2572997,1.8106606,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_h_1720383262_Basem.wav,h,aluminum,Tactile,-3.5115836,2.0811799,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_r_1720382223_Basem.wav,r,aluminum,Tactile,-2.701312,2.405571,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_3_1720380773_Basem.wav,3,aluminum,Tactile,-2.1017013,1.9834428,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_z_1720383583_Basem.wav,z,aluminum,Tactile,-1.9048641,1.9232912,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_=_1720381185_Basem.wav,=,aluminum,Tactile,-3.1863878,1.8038442,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_7_1720380964_Basem.wav,7,aluminum,Tactile,-2.9112632,2.1811984,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_y_1720382631_Basem.wav,y,aluminum,Tactile,-1.5770551,1.8783576,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_z_1720383580_Basem.wav,z,aluminum,Tactile,-1.2045248,1.9431056,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_h_1720383255_Basem.wav,h,aluminum,Tactile,-3.8188887,1.8955363,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_u_1720382688_Basem.wav,u,aluminum,Tactile,-0.7366131,1.9864966,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_1_1720380645_Basem.wav,1,aluminum,Tactile,-1.5636203,1.8142312,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_4_1720380811_Basem.wav,4,aluminum,Tactile,-3.071742,2.1463933,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_fwdsl_1720384075_Basem.wav,fwdsl,aluminum,Tactile,-2.9177723,2.5014048,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_s_1720383113_Basem.wav,s,aluminum,Tactile,-3.0058315,2.4061909,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_0_1720381079_Basem.wav,0,aluminum,Tactile,-3.2291625,1.9740014,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_6_1720380918_Basem.wav,6,aluminum,Tactile,-3.3289309,2.5453868,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_w_1720381263_Basem.wav,w,aluminum,Tactile,-2.6347945,2.351599,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_6_1720380897_Basem.wav,6,aluminum,Tactile,-1.5763674,1.8790331,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_1_1720380634_Basem.wav,1,aluminum,Tactile,-1.3852776,2.0068047,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_p_1720382827_Basem.wav,p,aluminum,Tactile,-1.0364205,1.6882342,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_n_1720383930_Basem.wav,n,aluminum,Tactile,-2.019757,2.243122,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_5_1720380869_Basem.wav,5,aluminum,Tactile,-2.5760736,2.6395435,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_t_1720382586_Basem.wav,t,aluminum,Tactile,-1.0186043,2.1081493,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_q_1720381217_Basem.wav,q,aluminum,Tactile,-2.9208126,2.3417118,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_5_1720380876_Basem.wav,5,aluminum,Tactile,-3.2242568,2.2662203,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_m_1720383965_Basem.wav,m,aluminum,Tactile,-2.456039,2.5654445,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_fwdsl_1720384099_Basem.wav,fwdsl,aluminum,Tactile,-4.313851,2.010338,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_apost_1720383546_Basem.wav,apost,aluminum,Tactile,0.087308854,1.6314688,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_y_1720382644_Basem.wav,y,aluminum,Tactile,-1.261054,1.8599967,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_g_1720383231_Basem.wav,g,aluminum,Tactile,-3.730676,2.1792548,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_r_1720382240_Basem.wav,r,aluminum,Tactile,-3.4841263,2.5356128,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_a_1720383044_Basem.wav,a,aluminum,Tactile,-3.2370055,2.3673458,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_space_1720384151_Basem.wav,space,aluminum,Tactile,-2.588347,1.5035987,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_bcksl_1720382983_Basem.wav,bcksl,aluminum,Tactile,-2.3998044,1.6586126,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_h_1720383259_Basem.wav,h,aluminum,Tactile,-3.4260614,1.5683132,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_[_1720382889_Basem.wav,[,aluminum,Tactile,-2.3103054,1.8784362,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_[_1720382882_Basem.wav,[,aluminum,Tactile,-3.1120567,1.8055302,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_5_1720380866_Basem.wav,5,aluminum,Tactile,-2.471673,2.4083536,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_`_1720380602_Basem.wav,`,aluminum,Tactile,-2.192569,2.221946,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_z_1720383590_Basem.wav,z,aluminum,Tactile,-1.2680217,1.9827305,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_p_1720382810_Basem.wav,p,aluminum,Tactile,-2.3130844,1.7211473,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_c_1720383751_Basem.wav,c,aluminum,Tactile,-1.2435368,2.1524568,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_t_1720382582_Basem.wav,t,aluminum,Tactile,-1.6415322,2.0860221,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_c_1720383747_Basem.wav,c,aluminum,Tactile,-1.5102345,1.8199284,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_f_1720383185_Basem.wav,f,aluminum,Tactile,-3.528392,2.0167253,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_v_1720383824_Basem.wav,v,aluminum,Tactile,-1.4240452,2.3474064,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,"key_press_,_1720384003_Basem.wav",",",aluminum,Tactile,-2.437671,2.5216062,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,"key_press_,_1720383989_Basem.wav",",",aluminum,Tactile,-2.8605983,2.50733,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_q_1720381241_Basem.wav,q,aluminum,Tactile,-2.6987567,2.4350688,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_-_1720381120_Basem.wav,-,aluminum,Tactile,-3.211276,1.8314122,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_k_1720383407_Basem.wav,k,aluminum,Tactile,-2.8121803,2.400961,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_3_1720380780_Basem.wav,3,aluminum,Tactile,-1.5970685,2.1898384,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_y_1720382637_Basem.wav,y,aluminum,Tactile,-1.1346366,1.9914308,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_w_1720381284_Basem.wav,w,aluminum,Tactile,-3.7351866,2.4327183,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_7_1720380968_Basem.wav,7,aluminum,Tactile,-3.1260688,2.1085927,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_w_1720381287_Basem.wav,w,aluminum,Tactile,-3.4368746,2.4010935,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_o_1720382765_Basem.wav,o,aluminum,Tactile,-2.308888,1.8590373,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_apost_1720383542_Basem.wav,apost,aluminum,Tactile,-0.6369238,1.8613541,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_7_1720380947_Basem.wav,7,aluminum,Tactile,-3.657353,1.9763396,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_bcksl_1720382990_Basem.wav,bcksl,aluminum,Tactile,-2.8831182,1.7290549,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_8_1720381006_Basem.wav,8,aluminum,Tactile,-3.385232,1.9684628,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_`_1720380619_Basem.wav,`,aluminum,Tactile,-1.8059502,2.2900064,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_g_1720383235_Basem.wav,g,aluminum,Tactile,-3.1314702,2.331796,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_=_1720381164_Basem.wav,=,aluminum,Tactile,-3.0219624,1.716265,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_j_1720383315_Basem.wav,j,aluminum,Tactile,-2.7657773,2.5205338,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_f_1720383178_Basem.wav,f,aluminum,Tactile,-2.8165252,2.2837195,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,"key_press_,_1720384017_Basem.wav",",",aluminum,Tactile,-2.087748,2.2395718,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_l_1720383458_Basem.wav,l,aluminum,Tactile,-2.6893551,2.1799517,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_._1720384048_Basem.wav,.,aluminum,Tactile,-2.439254,2.404538,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_a_1720383058_Basem.wav,a,aluminum,Tactile,-2.9732673,2.4768782,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_]_1720382946_Basem.wav,],aluminum,Tactile,-3.5729697,1.473954,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_a_1720383061_Basem.wav,a,aluminum,Tactile,-4.45384,2.12578,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_5_1720380863_Basem.wav,5,aluminum,Tactile,-3.7775912,2.314959,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_l_1720383462_Basem.wav,l,aluminum,Tactile,-1.420849,1.8308017,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_1_1720380648_Basem.wav,1,aluminum,Tactile,-1.5013658,2.089388,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_._1720384044_Basem.wav,.,aluminum,Tactile,-2.5714602,2.2657788,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_x_1720383612_Basem.wav,x,aluminum,Tactile,-0.6010865,2.5416064,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_y_1720382648_Basem.wav,y,aluminum,Tactile,-1.3001211,1.5685712,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_p_1720382820_Basem.wav,p,aluminum,Tactile,-2.1593876,1.6175814,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_9_1720381020_Basem.wav,9,aluminum,Tactile,-1.069585,1.6167142,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_c_1720383714_Basem.wav,c,aluminum,Tactile,-1.0426246,2.041522,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_o_1720382782_Basem.wav,o,aluminum,Tactile,-1.3824258,1.8681228,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_k_1720383417_Basem.wav,k,aluminum,Tactile,-2.3023598,2.7123535,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_c_1720383717_Basem.wav,c,aluminum,Tactile,-1.7562388,2.0545619,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_b_1720383861_Basem.wav,b,aluminum,Tactile,-1.6152074,2.2099407,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_space_1720384131_Basem.wav,space,aluminum,Tactile,-3.5120232,1.5154294,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_2_1720380682_Basem.wav,2,aluminum,Tactile,-1.262617,2.134813,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_]_1720382919_Basem.wav,],aluminum,Tactile,-2.7966728,1.6500093,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_apost_1720383528_Basem.wav,apost,aluminum,Tactile,-1.8491107,1.3956301,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_j_1720383296_Basem.wav,j,aluminum,Tactile,-2.8669717,2.4120314,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_f_1720383171_Basem.wav,f,aluminum,Tactile,-3.5847085,2.3559728,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_5_1720380880_Basem.wav,5,aluminum,Tactile,-3.0998778,2.4525552,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_;_1720383480_Basem.wav,;,aluminum,Tactile,-1.4792902,1.5931498,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_4_1720380838_Basem.wav,4,aluminum,Tactile,-3.2052388,2.2421448,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_space_1720384124_Basem.wav,space,aluminum,Tactile,-3.849097,1.1276323,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_x_1720383669_Basem.wav,x,aluminum,Tactile,-0.77336985,2.325522,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_y_1720382617_Basem.wav,y,aluminum,Tactile,-0.885023,1.8288633,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_n_1720383905_Basem.wav,n,aluminum,Tactile,-1.5171981,2.280075,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_u_1720382681_Basem.wav,u,aluminum,Tactile,-1.2177008,1.9141519,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_u_1720382678_Basem.wav,u,aluminum,Tactile,-0.28802618,2.1412487,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_`_1720380616_Basem.wav,`,aluminum,Tactile,-1.415145,2.4557343,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_5_1720380859_Basem.wav,5,aluminum,Tactile,-2.507657,2.4391713,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_6_1720380904_Basem.wav,6,aluminum,Tactile,-2.9521596,2.6425464,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_v_1720383831_Basem.wav,v,aluminum,Tactile,-0.9385326,2.2540014,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_2_1720380693_Basem.wav,2,aluminum,Tactile,-2.106817,2.0098898,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_x_1720383683_Basem.wav,x,aluminum,Tactile,-0.67434883,2.2730258,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_b_1720383875_Basem.wav,b,aluminum,Tactile,-1.7879779,2.1866264,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_w_1720381280_Basem.wav,w,aluminum,Tactile,-2.8107462,2.3893845,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_g_1720383214_Basem.wav,g,aluminum,Tactile,-3.8724995,2.2649114,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_i_1720382723_Basem.wav,i,aluminum,Tactile,-0.52872396,2.0817072,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_;_1720383500_Basem.wav,;,aluminum,Tactile,-0.92994857,2.2338564,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_6_1720380901_Basem.wav,6,aluminum,Tactile,-2.8439052,2.4413297,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_j_1720383322_Basem.wav,j,aluminum,Tactile,-2.5436423,2.486777,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_._1720384037_Basem.wav,.,aluminum,Tactile,-3.1037276,2.3126075,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_apost_1720383535_Basem.wav,apost,aluminum,Tactile,-1.0965433,1.5271112,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_bcksl_1720382979_Basem.wav,bcksl,aluminum,Tactile,-2.9808621,1.7894075,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_7_1720380943_Basem.wav,7,aluminum,Tactile,-2.964557,2.149242,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_u_1720382685_Basem.wav,u,aluminum,Tactile,-1.9723705,1.9088528,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_i_1720382716_Basem.wav,i,aluminum,Tactile,-0.5118392,2.039296,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_bcksl_1720383004_Basem.wav,bcksl,aluminum,Tactile,-3.4701805,1.6938717,1
dropctrlv1,80%_Tenkeyless,mechanical,Basem,key_press_._1720384055_Basem.wav,.,aluminum,Tactile,-2.8229325,2.3660607,1
